,model,year,price,transmission,mileage,engine size,mileage2,fuel type2,engine size2
10, C Class,2013,9995,Automatic,44900,160,46.3,Petrol,1.6
11, C Class,2012,6995,Automatic,88200,125,58.9,Diesel,2.1
12, C Class,2012,7495,Automatic,115000,145,54.3,Diesel,2.1
13, C Class,2011,8995,Automatic,69250,150,53.3,Diesel,2.1
14, C Class,2015,14995,Automatic,49850,30,62.8,Diesel,2.1
15, C Class,2013,8595,Automatic,82685,30,64.2,Diesel,2143.0
16, C Class,2016,19250,Semi-Auto,32506,125,60.1,Diesel,2.1
17, C Class,2017,23500,Semi-Auto,17000,145,67.3,Diesel,2.1
18, C Class,2018,24995,Semi-Auto,17744,150,64.2,Diesel,2.0
19, C Class,2016,29995,Semi-Auto,64291,305,34.5,Petrol,4.0
33, C Class,2014,17990,Automatic,41011,150,49.6,Petrol,1991.0
34, C Class,2016,14477,Automatic,72000,30,65.7,Diesel,1.6
35, C Class,2013,10977,Automatic,72000,145,54.3,Diesel,2.1
36, C Class,2016,17977,Automatic,40000,30,64.2,Diesel,1.6
57, C Class,2017,14488,Automatic,66472,30,64.2,Diesel,2.1
58, C Class,2011,7500,Manual,91000,125,60.1,Diesel,2.1
59, C Class,2013,9750,Automatic,69700,145,53.3,Diesel,2.1
60, C Class,2015,15995,Automatic,39000,30,64.2,Diesel,1600.0
61, C Class,2016,15675,Manual,39287,20,68.9,Diesel,2143.0
62, C Class,2016,16475,Manual,40569,20,68.9,Diesel,2143.0
63, C Class,2016,15975,Manual,37419,125,51.4,Petrol,1991.0
64, C Class,2016,16475,Automatic,34452,30,64.2,Diesel,2143.0
65, C Class,2015,15975,Automatic,41567,0,76.4,Hybrid,2143.0
66, C Class,2015,16495,Automatic,41130,0,134.5,Hybrid,1991.0
67, C Class,2017,17795,Automatic,37778,150,64.2,Diesel,2143.0
68, C Class,2017,17875,Automatic,44325,30,64.2,Diesel,2143.0
70, C Class,2017,16500,Automatic,75000,30,64.2,Diesel,1.6
72, C Class,2015,15500,Automatic,64000,30,64.2,Diesel,2.1
73, C Class,2013,7250,Manual,106000,30,64.2,Diesel,2.1
75, C Class,2012,11000,Automatic,43426,160,44.8,Petrol,1595.0
76, C Class,2016,13300,Manual,42622,20,70.6,Diesel,2143.0
77, C Class,2016,16000,Manual,34903,20,68.9,Diesel,2143.0
78, C Class,2014,12500,Automatic,35345,145,53.3,Diesel,2143.0
79, C Class,2015,14495,Manual,23146,115,52.3,Petrol,2000.0
80, C Class,2017,24500,Automatic,16000,145,65.7,Diesel,2.1
81, C Class,2013,23990,Automatic,44000,570,23.5,Petrol,6.2
82, C Class,2015,17250,Automatic,30000,30,64.2,Diesel,2.1
83, C Class,2015,14200,Automatic,22000,160,44.8,Petrol,1.6
84, C Class,2017,22950,Automatic,19000,150,47.1,Petrol,2.0
85, C Class,2013,10500,Automatic,90000,145,54.3,Diesel,2.1
86, C Class,2014,15650,Automatic,32000,20,64.2,Diesel,2.1
87, C Class,2015,14850,Automatic,90000,30,61.4,Diesel,2.1
89, C Class,2017,19950,Automatic,23000,145,61.4,Diesel,2.1
90, C Class,2014,9990,Automatic,78000,145,53.3,Diesel,2143.0
91, C Class,2015,11990,Automatic,47000,145,53.3,Diesel,2143.0
92, C Class,2017,20990,Automatic,18000,145,58.9,Diesel,2143.0
93, C Class,2015,14490,Automatic,64000,30,64.2,Diesel,2143.0
94, C Class,2013,10490,Automatic,50000,145,54.3,Diesel,2143.0
95, C Class,2016,15990,Automatic,65000,30,64.2,Diesel,2143.0
96, C Class,2016,17850,Automatic,38000,30,64.2,Diesel,2.1
97, C Class,2016,16450,Automatic,70000,30,64.2,Diesel,2.1
98, C Class,2013,11350,Automatic,69000,145,54.3,Diesel,2.1
99, C Class,2014,12900,Automatic,41000,160,44.8,Petrol,1.6
100, C Class,2018,26000,Automatic,16250,150,46.3,Petrol,1.5
103, C Class,2017,18999,Automatic,38000,0,134.5,Hybrid,2.0
106, C Class,2009,4343,Automatic,120000,205,45.6,Diesel,2145.0
121, C Class,2016,16500,Automatic,51936,30,64.2,Diesel,2143.0
122, C Class,2019,27750,Automatic,4000,145,56.5,Diesel,1950.0
123, C Class,2019,28950,Automatic,8500,145,54.3,Diesel,1950.0
124, C Class,2007,3495,Automatic,119168,300,33.6,Petrol,1796.0
161, C Class,2019,44990,Automatic,19999,145,28.5,Petrol,3982.0
162, C Class,2019,54990,Automatic,1600,150,28.5,Petrol,3982.0
163, C Class,2015,15995,Automatic,46221,20,64.2,Diesel,2143.0
170, C Class,2014,12998,Semi-Auto,52712,20,64.2,Diesel,2.1
171, C Class,2017,17998,Semi-Auto,59858,145,64.2,Diesel,2.1
172, C Class,2019,28998,Manual,22,145,48.7,Petrol,1.6
173, C Class,2017,24998,Semi-Auto,28234,160,43.5,Petrol,2.0
174, C Class,2016,19498,Semi-Auto,22803,30,61.4,Diesel,2.1
175, C Class,2018,23498,Semi-Auto,17093,145,67.3,Diesel,2.1
176, C Class,2019,25498,Semi-Auto,8150,145,60.1,Diesel,1.6
177, C Class,2019,24998,Semi-Auto,9344,145,55.4,Diesel,2.0
178, C Class,2016,18498,Semi-Auto,31891,0,134.5,Hybrid,2.0
179, C Class,2014,15498,Semi-Auto,36243,30,64.2,Diesel,2.1
180, C Class,2017,20995,Semi-Auto,33000,145,58.9,Diesel,2.1
181, C Class,2018,31995,Semi-Auto,11300,150,36.2,Petrol,3.0
182, C Class,2017,23995,Semi-Auto,32800,30,65.7,Diesel,2.1
183, C Class,2014,16995,Automatic,37600,30,64.2,Diesel,2.1
184, C Class,2017,24995,Automatic,14000,145,47.1,Petrol,2.0
185, C Class,2014,26998,Semi-Auto,24175,570,23.5,Petrol,6.2
186, C Class,2016,20498,Semi-Auto,27968,125,60.1,Diesel,2.1
187, C Class,2018,27498,Semi-Auto,9255,145,57.7,Diesel,2.0
188, C Class,2016,16998,Semi-Auto,26973,30,65.7,Diesel,1.6
189, C Class,2018,27498,Semi-Auto,12491,145,65.7,Diesel,2.1
190, C Class,2019,27698,Semi-Auto,14999,145,55.4,Diesel,2.0
191, C Class,2016,27498,Semi-Auto,37941,260,35.8,Petrol,3.0
192, C Class,2019,32498,Semi-Auto,11301,145,61.4,Diesel,2.0
193, C Class,2019,24498,Semi-Auto,12629,145,61.4,Diesel,2.1
194, C Class,2017,21498,Semi-Auto,20981,30,64.2,Diesel,2.1
195, C Class,2017,18998,Semi-Auto,23760,30,64.2,Diesel,2.1
196, C Class,2014,15998,Semi-Auto,26216,30,64.2,Diesel,2.1
197, C Class,2013,9298,Semi-Auto,80485,145,54.3,Diesel,2.1
198, C Class,2018,22998,Semi-Auto,18739,150,60.1,Diesel,2.1
199, C Class,2016,12998,Manual,53453,20,70.6,Diesel,2.1
200, C Class,2016,22998,Semi-Auto,23090,30,65.7,Diesel,2.1
201, C Class,2016,17998,Manual,26100,20,68.9,Diesel,2.1
202, C Class,2019,28498,Semi-Auto,4285,145,61.4,Diesel,2.0
203, C Class,2016,18998,Semi-Auto,28388,30,64.2,Diesel,1.6
204, C Class,2017,20998,Semi-Auto,16902,145,60.1,Diesel,2.1
205, C Class,2016,21998,Semi-Auto,31227,30,65.7,Diesel,2.1
206, C Class,2015,13998,Manual,24010,20,72.4,Diesel,1.6
207, C Class,2019,24498,Semi-Auto,15838,145,61.4,Diesel,2.0
209, C Class,2019,30498,Semi-Auto,4977,145,57.7,Diesel,2.0
210, C Class,2016,19498,Semi-Auto,24756,30,64.2,Diesel,2.1
211, C Class,2014,15298,Semi-Auto,41416,30,64.2,Diesel,2.1
212, C Class,2019,33998,Semi-Auto,3814,145,44.1,Petrol,1.5
213, C Class,2019,32998,Semi-Auto,17,145,46.3,Petrol,1.5
214, C Class,2016,16498,Semi-Auto,37080,20,64.2,Diesel,2.1
215, C Class,2016,15498,Semi-Auto,73582,30,61.4,Diesel,2.1
216, C Class,2014,15498,Semi-Auto,23772,20,64.2,Diesel,2.1
217, C Class,2017,18998,Semi-Auto,28808,145,61.4,Diesel,2.1
218, C Class,2019,24495,Semi-Auto,10000,145,61.4,Diesel,2.0
219, C Class,2016,18990,Semi-Auto,26413,20,64.2,Diesel,2.1
220, C Class,2014,10995,Manual,98000,20,68.9,Diesel,2.1
221, C Class,2014,15698,Semi-Auto,39920,30,64.2,Diesel,2.1
222, C Class,2019,22498,Semi-Auto,10455,145,46.3,Petrol,1.5
223, C Class,2016,19298,Semi-Auto,27644,30,64.2,Diesel,2.1
225, C Class,2018,19998,Semi-Auto,15383,145,46.3,Petrol,1.5
226, C Class,2018,20685,Semi-Auto,21929,145,64.2,Diesel,2.1
227, C Class,2018,20489,Semi-Auto,16900,145,61.4,Diesel,2.1
228, C Class,2017,13800,Manual,34015,145,70.6,Diesel,2.1
229, C Class,2019,31998,Semi-Auto,2000,145,42.2,Petrol,2.0
230, C Class,2019,29998,Semi-Auto,28000,145,44.1,Petrol,2.0
231, C Class,2019,24998,Semi-Auto,22400,145,44.1,Petrol,1.5
232, C Class,2019,32998,Semi-Auto,2878,145,42.2,Petrol,2.0
233, C Class,2019,32998,Semi-Auto,4500,145,42.2,Petrol,2.0
234, C Class,2019,29998,Semi-Auto,836,145,43.5,Petrol,2.0
235, C Class,2017,23998,Semi-Auto,14462,20,67.3,Diesel,2.1
236, C Class,2016,20998,Semi-Auto,23429,0,122.8,Hybrid,2.0
237, C Class,2017,16498,Automatic,20764,150,58.9,Diesel,2.1
238, C Class,2013,11998,Semi-Auto,31706,145,53.3,Diesel,2.1
239, C Class,2015,12495,Automatic,55000,30,64.2,Diesel,2.1
240, C Class,2019,19298,Automatic,10059,145,46.3,Petrol,1.5
241, C Class,2019,23998,Semi-Auto,10357,145,61.4,Diesel,2.0
242, C Class,2015,12495,Semi-Auto,50374,20,65.7,Diesel,2.1
243, C Class,2015,17498,Semi-Auto,42471,0,76.4,Hybrid,2.1
244, C Class,2016,16198,Manual,41974,20,68.9,Diesel,2.1
245, C Class,2017,18498,Semi-Auto,20618,30,64.2,Diesel,2.1
246, C Class,2019,24998,Semi-Auto,15536,145,47.1,Petrol,1.5
247, C Class,2019,24998,Semi-Auto,16103,145,47.1,Petrol,1.5
248, C Class,2019,21998,Semi-Auto,14576,145,46.3,Petrol,1.5
249, C Class,2018,29498,Semi-Auto,6198,145,54.3,Diesel,2.0
250, C Class,2018,29498,Semi-Auto,6265,145,54.3,Diesel,2.0
251, C Class,2016,16998,Semi-Auto,21786,20,65.7,Diesel,2.1
252, C Class,2019,33998,Semi-Auto,1558,145,44.1,Petrol,1.5
253, C Class,2019,32998,Semi-Auto,2258,145,46.3,Petrol,1.5
254, C Class,2017,18998,Semi-Auto,26866,30,64.2,Diesel,2.1
255, C Class,2019,32498,Semi-Auto,1887,145,46.3,Petrol,1.5
256, C Class,2017,25798,Semi-Auto,9676,145,65.7,Diesel,2.1
257, C Class,2018,20498,Semi-Auto,7894,145,60.1,Diesel,2.1
258, C Class,2017,18498,Semi-Auto,26179,145,60.1,Diesel,2.1
259, C Class,2016,14498,Manual,21945,125,53.3,Petrol,2.0
260, C Class,2019,29498,Semi-Auto,2195,145,61.4,Diesel,2.0
261, C Class,2017,17998,Semi-Auto,16291,145,50.4,Petrol,2.0
262, C Class,2015,13498,Manual,38438,20,70.6,Diesel,2.1
263, C Class,2016,19698,Automatic,25107,0,134.5,Hybrid,2.0
264, C Class,2017,22498,Semi-Auto,20491,135,74.3,Hybrid,2.1
265, C Class,2015,11998,Manual,52792,20,72.4,Diesel,1.6
266, C Class,2013,11998,Semi-Auto,30035,160,44.8,Petrol,1.6
268, C Class,2019,23498,Semi-Auto,19204,150,61.4,Diesel,2.0
269, C Class,2019,57998,Semi-Auto,10,145,28.5,Petrol,4.0
270, C Class,2015,16315,Semi-Auto,46155,30,64.2,Diesel,2.1
271, C Class,2016,13991,Semi-Auto,49494,30,64.2,Diesel,2.1
272, C Class,2016,16998,Semi-Auto,43014,30,64.2,Diesel,2.1
274, C Class,2016,16998,Semi-Auto,38830,20,64.2,Diesel,2.1
275, C Class,2016,13690,Manual,49761,20,68.9,Diesel,2.1
276, C Class,2014,14490,Semi-Auto,31801,20,64.2,Diesel,2.1
277, C Class,2017,17998,Semi-Auto,22349,145,50.4,Petrol,2.0
278, C Class,2019,29998,Semi-Auto,8520,145,61.4,Diesel,2.0
279, C Class,2017,18998,Semi-Auto,27493,0,78.5,Hybrid,2.1
280, C Class,2018,18998,Semi-Auto,15075,145,50.4,Petrol,2.0
281, C Class,2019,28998,Semi-Auto,5116,145,61.4,Diesel,2.0
282, C Class,2019,24998,Semi-Auto,15009,145,47.1,Petrol,1.5
283, C Class,2018,27998,Semi-Auto,6787,145,57.7,Diesel,2.0
284, C Class,2015,16798,Semi-Auto,32409,30,64.2,Diesel,2.1
285, C Class,2017,19998,Semi-Auto,23690,125,58.9,Diesel,2.1
286, C Class,2020,29950,Semi-Auto,101,145,48.7,Diesel,2.0
287, C Class,2017,20790,Semi-Auto,22485,0,74.3,Hybrid,2.1
288, C Class,2013,9490,Semi-Auto,41921,145,47.9,Petrol,1.6
289, C Class,2017,15690,Semi-Auto,35488,20,65.7,Diesel,2.1
290, C Class,2017,14990,Manual,41647,20,65.7,Diesel,2.1
291, C Class,2015,17290,Semi-Auto,24923,30,64.2,Diesel,2.1
292, C Class,2018,19490,Semi-Auto,11810,145,61.4,Diesel,2.1
293, C Class,2019,28990,Semi-Auto,2000,145,57.7,Diesel,2.0
294, C Class,2017,24990,Automatic,6668,145,58.9,Diesel,2.1
295, C Class,2014,28990,Semi-Auto,19562,570,23.5,Petrol,6.2
296, C Class,2016,16298,Semi-Auto,29201,30,64.2,Diesel,1.6
297, C Class,2016,14698,Manual,19864,20,70.6,Diesel,2.1
298, C Class,2016,13998,Manual,22117,125,53.3,Petrol,2.0
299, C Class,2015,14698,Semi-Auto,43331,20,64.2,Diesel,2.1
300, C Class,2014,10498,Semi-Auto,51929,145,53.3,Diesel,2.1
301, C Class,2015,11998,Semi-Auto,42245,150,53.3,Diesel,2.1
302, C Class,2016,15698,Automatic,42062,125,50.4,Petrol,2.0
303, C Class,2015,16998,Semi-Auto,43883,125,60.1,Diesel,2.1
304, C Class,2016,17998,Semi-Auto,36587,0,134.5,Hybrid,2.0
305, C Class,2017,20998,Semi-Auto,42036,20,67.3,Diesel,2.1
306, C Class,2016,13691,Semi-Auto,36538,30,65.7,Diesel,1.6
307, C Class,2014,13491,Manual,56000,20,68.9,Diesel,2.1
308, C Class,2017,21998,Semi-Auto,11986,150,48.7,Petrol,2.0
309, C Class,2015,14500,Semi-Auto,38783,20,64.2,Diesel,2.1
310, C Class,2017,15990,Semi-Auto,38051,20,64.2,Diesel,2.1
311, C Class,2016,20490,Semi-Auto,10542,125,51.4,Petrol,2.0
312, C Class,2018,20890,Semi-Auto,3033,145,44.1,Petrol,1.5
313, C Class,2014,14490,Semi-Auto,59884,30,64.2,Diesel,2.1
314, C Class,2018,21990,Semi-Auto,1871,145,44.1,Petrol,1.5
315, C Class,2015,14750,Semi-Auto,32594,20,64.2,Diesel,2.1
316, C Class,2019,44990,Automatic,1474,145,29.1,Petrol,3.0
317, C Class,2019,24690,Semi-Auto,15210,145,47.1,Petrol,1.5
318, C Class,2017,18270,Semi-Auto,49783,30,64.2,Diesel,2.1
319, C Class,2018,26625,Automatic,7175,145,57.7,Diesel,2.0
320, C Class,2015,13361,Semi-Auto,35034,125,53.3,Petrol,2.0
321, C Class,2017,17490,Semi-Auto,35576,145,64.2,Diesel,2.1
322, C Class,2019,26427,Automatic,13888,145,55.4,Diesel,2.0
323, C Class,2019,29290,Semi-Auto,4703,145,57.7,Diesel,2.0
324, C Class,2017,23047,Semi-Auto,8143,145,65.7,Diesel,2.1
325, C Class,2015,13621,Semi-Auto,57066,30,65.7,Diesel,1.6
326, C Class,2017,18200,Semi-Auto,25296,30,61.4,Diesel,2.1
327, C Class,2017,16991,Semi-Auto,29907,145,64.2,Diesel,2.1
328, C Class,2018,23498,Semi-Auto,5659,145,40.4,Petrol,2.0
329, C Class,2015,14698,Semi-Auto,23063,20,65.7,Diesel,2.1
330, C Class,2013,9798,Semi-Auto,60948,150,54.3,Diesel,2.1
331, C Class,2016,17998,Automatic,32769,30,64.2,Diesel,2.1
332, C Class,2017,18998,Automatic,20949,145,61.4,Diesel,2.1
333, C Class,2016,20700,Semi-Auto,27890,20,67.3,Diesel,2.1
334, C Class,2015,16990,Semi-Auto,11954,20,64.2,Diesel,2.1
335, C Class,2014,11791,Semi-Auto,42879,145,53.3,Diesel,2.1
336, C Class,2015,18191,Semi-Auto,11470,30,64.2,Diesel,1.6
337, C Class,2016,20991,Semi-Auto,26205,125,58.9,Diesel,2.1
338, C Class,2017,13321,Semi-Auto,61305,150,65.7,Diesel,1.6
339, C Class,2016,21998,Semi-Auto,10561,20,67.3,Diesel,2.1
340, C Class,2017,15998,Semi-Auto,72939,0,134.5,Hybrid,2.0
341, C Class,2015,13498,Manual,31125,20,70.6,Diesel,2.1
342, C Class,2017,20871,Semi-Auto,37194,145,65.7,Diesel,2.1
343, C Class,2018,25891,Semi-Auto,2240,145,44.1,Petrol,2.0
344, C Class,2017,20591,Semi-Auto,21023,30,64.2,Diesel,2.1
345, C Class,2016,19991,Semi-Auto,35975,20,67.3,Diesel,2.1
346, C Class,2015,15990,Semi-Auto,55226,30,64.2,Diesel,2.1
347, C Class,2019,30055,Automatic,3686,145,54.3,Diesel,2.0
348, C Class,2017,21650,Automatic,33943,145,47.1,Petrol,2.0
349, C Class,2018,25990,Semi-Auto,9699,145,44.1,Petrol,2.0
350, C Class,2017,17690,Semi-Auto,25059,145,61.4,Diesel,2.1
351, C Class,2019,30950,Automatic,101,145,55.4,Diesel,2.0
352, C Class,2019,24950,Automatic,7006,145,47.1,Petrol,1.5
353, C Class,2015,14998,Semi-Auto,38671,20,64.2,Diesel,2.1
354, C Class,2017,19798,Semi-Auto,19877,0,134.5,Hybrid,2.0
355, C Class,2019,24498,Semi-Auto,7937,150,47.1,Petrol,1.5
356, C Class,2018,19991,Semi-Auto,20027,150,60.1,Diesel,2.1
357, C Class,2017,21991,Semi-Auto,19953,145,67.3,Diesel,2.1
358, C Class,2018,22591,Semi-Auto,18551,145,67.3,Diesel,2.1
359, C Class,2019,18790,Semi-Auto,14288,145,64.2,Diesel,2.1
360, C Class,2019,25950,Automatic,10485,145,47.1,Petrol,1.5
361, C Class,2020,29950,Semi-Auto,101,145,64.2,Diesel,2.0
362, C Class,2017,14990,Semi-Auto,27424,145,65.7,Diesel,2.1
363, C Class,2020,31950,Automatic,2985,145,51.4,Diesel,2.0
364, C Class,2016,20990,Semi-Auto,36051,30,65.7,Diesel,2.1
365, C Class,2020,28990,Automatic,3458,145,46.3,Petrol,1.5
366, C Class,2019,27000,Semi-Auto,6406,145,64.2,Diesel,2.0
367, C Class,2015,12590,Semi-Auto,65000,150,53.3,Diesel,2.1
368, C Class,2018,20885,Semi-Auto,22773,145,61.4,Diesel,2.1
369, C Class,2014,25885,Semi-Auto,37000,570,23.5,Petrol,6.2
370, C Class,2016,14965,Semi-Auto,30487,20,65.7,Diesel,2.1
371, C Class,2017,16595,Automatic,29814,20,65.7,Diesel,2.1
372, C Class,2018,17940,Semi-Auto,28050,145,64.2,Diesel,2.1
373, C Class,2018,19940,Semi-Auto,18882,145,61.4,Diesel,2.1
374, C Class,2016,16498,Semi-Auto,27034,30,65.7,Diesel,1.6
375, C Class,2016,14500,Semi-Auto,40620,30,65.7,Diesel,1.6
376, C Class,2019,27791,Semi-Auto,9057,145,56.5,Diesel,2.0
377, C Class,2019,26499,Semi-Auto,7060,145,56.5,Diesel,2.0
378, C Class,2019,31990,Semi-Auto,4615,145,54.3,Diesel,2.0
379, C Class,2018,20999,Semi-Auto,9250,145,46.3,Petrol,1.5
380, C Class,2019,31999,Semi-Auto,1052,145,48.7,Diesel,2.0
381, C Class,2017,17495,Semi-Auto,25149,145,51.4,Petrol,2.0
382, C Class,2019,25495,Semi-Auto,5947,145,42.2,Petrol,1.6
383, C Class,2019,36995,Automatic,2749,145,54.3,Diesel,2.0
384, C Class,2019,30999,Semi-Auto,7144,145,57.7,Diesel,2.0
385, C Class,2019,29999,Semi-Auto,4843,145,57.7,Diesel,2.0
386, C Class,2016,17880,Automatic,44641,30,64.2,Diesel,2.1
387, C Class,2016,13660,Manual,26682,20,70.6,Diesel,2.1
388, C Class,2016,23920,Automatic,18865,30,65.7,Diesel,2.1
389, C Class,2017,22960,Semi-Auto,21225,20,67.3,Diesel,2.1
390, C Class,2017,16590,Semi-Auto,52519,30,64.2,Diesel,1.6
391, C Class,2017,17990,Semi-Auto,42000,30,64.2,Diesel,2.1
392, C Class,2019,22270,Automatic,3233,145,44.1,Petrol,1.6
393, C Class,2016,22680,Semi-Auto,28535,125,61.4,Diesel,2.1
394, C Class,2017,22440,Semi-Auto,32629,20,67.3,Diesel,2.1
395, C Class,2016,17820,Semi-Auto,30748,20,68.9,Diesel,2.1
396, C Class,2016,19290,Semi-Auto,17600,30,64.2,Diesel,2.1
397, C Class,2016,16390,Semi-Auto,31360,20,64.2,Diesel,2.1
398, C Class,2016,14450,Semi-Auto,19598,125,53.3,Petrol,2.0
399, C Class,2016,17250,Automatic,28192,30,64.2,Diesel,2.1
400, C Class,2016,19690,Semi-Auto,38087,20,67.3,Diesel,2.1
401, C Class,2017,19250,Semi-Auto,23523,125,60.1,Diesel,2.1
402, C Class,2019,21980,Automatic,7716,145,45.6,Petrol,1.5
403, C Class,2019,23990,Automatic,1647,145,45.6,Petrol,1.5
404, C Class,2019,21980,Semi-Auto,5572,145,45.6,Petrol,1.5
405, C Class,2019,27990,Automatic,101,145,61.4,Diesel,2.0
406, C Class,2015,16998,Semi-Auto,66796,0,74.3,Hybrid,2.1
407, C Class,2016,19698,Semi-Auto,41056,20,67.3,Diesel,2.1
408, C Class,2015,15498,Manual,32140,20,68.9,Diesel,2.1
409, C Class,2020,67999,Semi-Auto,1500,145,28.0,Petrol,4.0
410, C Class,2020,34999,Semi-Auto,1500,145,46.3,Petrol,1.5
411, C Class,2016,21299,Semi-Auto,12249,150,49.6,Petrol,2.0
412, C Class,2017,17999,Semi-Auto,37564,0,134.5,Hybrid,2.0
413, C Class,2019,19999,Semi-Auto,14360,150,46.3,Petrol,1.5
414, C Class,2017,21999,Semi-Auto,10288,150,47.9,Petrol,2.0
415, C Class,2016,17699,Semi-Auto,43236,30,61.4,Diesel,2.1
416, C Class,2016,14580,Semi-Auto,33113,20,65.7,Diesel,2.1
417, C Class,2017,23990,Semi-Auto,19784,145,42.2,Petrol,2.0
418, C Class,2019,28660,Automatic,1610,145,57.7,Diesel,2.0
419, C Class,2017,19490,Semi-Auto,31326,125,60.1,Diesel,2.1
420, C Class,2017,21770,Semi-Auto,32790,20,67.3,Diesel,2.1
421, C Class,2019,25990,Semi-Auto,11728,145,56.5,Diesel,2.0
422, C Class,2019,28660,Automatic,6282,145,54.3,Diesel,2.0
423, C Class,2017,22590,Semi-Auto,41131,30,65.7,Diesel,2.1
424, C Class,2017,22770,Automatic,14052,145,65.7,Diesel,2.1
425, C Class,2015,16480,Automatic,44929,30,64.2,Diesel,2.1
426, C Class,2018,27698,Semi-Auto,10579,145,54.3,Diesel,2.0
427, C Class,2017,16499,Semi-Auto,30536,150,50.4,Petrol,2.0
428, C Class,2019,19895,Semi-Auto,10985,145,46.3,Petrol,1.5
429, C Class,2019,27595,Semi-Auto,11480,145,56.5,Diesel,2.0
430, C Class,2019,25795,Semi-Auto,12986,145,58.9,Diesel,2.0
431, C Class,2019,24499,Semi-Auto,3984,145,44.1,Petrol,1.5
432, C Class,2019,30495,Semi-Auto,8771,145,44.1,Petrol,2.0
433, C Class,2019,29999,Semi-Auto,1683,145,55.4,Diesel,2.0
434, C Class,2018,27495,Semi-Auto,16347,145,57.7,Diesel,2.0
435, C Class,2019,21795,Manual,6959,145,46.3,Petrol,1.6
436, C Class,2013,9881,Automatic,50591,160,46.3,Petrol,1.6
437, C Class,2015,13498,Manual,14480,125,53.3,Petrol,2.0
438, C Class,2019,24450,Semi-Auto,10471,145,64.2,Diesel,2.0
439, C Class,2015,17450,Semi-Auto,37000,30,64.2,Diesel,2.1
440, C Class,2016,14450,Semi-Auto,34000,20,65.7,Diesel,2.1
441, C Class,2017,24990,Semi-Auto,22369,145,61.4,Diesel,2.1
442, C Class,2015,16440,Semi-Auto,29286,20,64.2,Diesel,2.1
443, C Class,2014,9891,Semi-Auto,52500,125,57.7,Diesel,2.1
444, C Class,2015,16998,Semi-Auto,26273,125,52.3,Petrol,2.0
445, C Class,2015,16710,Semi-Auto,48123,30,64.2,Diesel,2.1
446, C Class,2017,22495,Automatic,19779,145,67.3,Diesel,2.1
447, C Class,2017,21565,Automatic,39447,145,47.1,Petrol,2.0
448, C Class,2017,21697,Semi-Auto,28272,145,47.1,Petrol,2.0
449, C Class,2016,20990,Semi-Auto,20972,30,64.2,Diesel,2.1
450, C Class,2016,14770,Semi-Auto,21745,125,53.3,Petrol,2.0
451, C Class,2015,13448,Semi-Auto,31878,20,65.7,Diesel,2.1
452, C Class,2014,15998,Semi-Auto,34382,30,64.2,Diesel,2.1
453, C Class,2018,27498,Semi-Auto,12170,145,54.3,Diesel,2.0
454, C Class,2016,19498,Semi-Auto,24111,0,134.5,Hybrid,2.0
455, C Class,2017,22498,Semi-Auto,22888,20,67.3,Diesel,2.1
456, C Class,2016,20105,Automatic,14965,30,64.2,Diesel,2.1
457, C Class,2016,14220,Semi-Auto,45868,20,65.7,Diesel,2.1
458, C Class,2017,22260,Semi-Auto,27637,30,64.2,Diesel,2.1
459, C Class,2014,16990,Semi-Auto,32475,30,64.2,Diesel,2.1
460, C Class,2019,41880,Automatic,151,145,29.7,Petrol,3.0
461, C Class,2019,30990,Automatic,151,145,55.4,Diesel,2.0
462, C Class,2019,28880,Automatic,7324,145,46.3,Petrol,1.5
463, C Class,2019,28990,Automatic,2501,145,64.2,Diesel,2.0
464, C Class,2016,18700,Semi-Auto,33237,125,58.9,Diesel,2.1
465, C Class,2017,17440,Semi-Auto,63019,125,61.4,Diesel,2.1
466, C Class,2016,17770,Semi-Auto,27306,20,64.2,Diesel,2.1
467, C Class,2017,18433,Semi-Auto,34278,145,61.4,Diesel,2.1
468, C Class,2016,21440,Semi-Auto,26600,20,67.3,Diesel,2.1
469, C Class,2017,22170,Semi-Auto,19155,145,67.3,Diesel,2.1
470, C Class,2017,21115,Semi-Auto,31538,145,67.3,Diesel,2.1
471, C Class,2019,21497,Semi-Auto,3539,145,64.2,Diesel,1.6
472, C Class,2019,28400,Semi-Auto,1287,145,56.5,Diesel,2.0
473, C Class,2016,22765,Automatic,25178,30,65.7,Diesel,2.1
474, C Class,2018,22880,Semi-Auto,23061,145,67.3,Diesel,2.1
475, C Class,2019,22455,Automatic,3761,145,44.1,Petrol,1.5
476, C Class,2017,17330,Semi-Auto,22684,145,64.2,Diesel,2.1
477, C Class,2017,18795,Automatic,46294,20,67.3,Diesel,2.1
478, C Class,2016,15220,Semi-Auto,39656,20,65.7,Diesel,2.1
479, C Class,2017,21440,Semi-Auto,13096,145,61.4,Diesel,2.1
480, C Class,2017,20200,Semi-Auto,21462,145,61.4,Diesel,2.1
481, C Class,2018,19660,Semi-Auto,5232,145,65.7,Diesel,1.6
482, C Class,2017,22990,Semi-Auto,15527,145,67.3,Diesel,2.1
483, C Class,2018,22770,Semi-Auto,21200,145,67.3,Diesel,2.1
484, C Class,2018,19775,Semi-Auto,45335,145,67.3,Diesel,2.1
485, C Class,2017,24660,Semi-Auto,9873,20,67.3,Diesel,2.1
486, C Class,2017,33495,Semi-Auto,22574,300,33.6,Petrol,4.0
487, C Class,2019,26890,Semi-Auto,1705,145,42.2,Petrol,1.6
