,model,year,price,transmission,mileage,engine size,mileage2,fuel type2,engine size2
1587, C Class,2019,26440,Semi-Auto,16684,145,60.1,Diesel,1.6
1588, C Class,2017,19240,Semi-Auto,33022,30,64.2,Diesel,2.1
1589, C Class,2019,30740,Semi-Auto,7926,145,57.7,Diesel,2.0
1590, C Class,2019,24640,Semi-Auto,14751,145,61.4,Diesel,2.0
1591, C Class,2017,19995,Automatic,55842,165,44.1,Petrol,2.0
1592, C Class,2018,19995,Semi-Auto,19870,150,41.5,Petrol,2.0
1593, C Class,2019,27340,Automatic,3970,145,43.5,Petrol,2.0
1594, C Class,2017,25000,Automatic,9507,145,47.1,Petrol,2.0
1595, C Class,2018,23390,Semi-Auto,16045,145,58.9,Diesel,2.0
1596, C Class,2015,15789,Semi-Auto,42164,30,64.2,Diesel,2.1
1597, C Class,2017,17490,Automatic,20000,145,64.2,Diesel,2.1
1598, C Class,2018,34990,Automatic,19500,145,35.3,Petrol,3.0
1599, C Class,2016,19750,Semi-Auto,31467,30,64.2,Diesel,2.1
1600, C Class,2017,19000,Semi-Auto,17329,20,68.9,Diesel,2.1
1601, C Class,2018,20690,Semi-Auto,15750,145,48.7,Petrol,2.0
1602, C Class,2019,35891,Automatic,4167,145,61.4,Diesel,2.0
1603, C Class,2015,15135,Semi-Auto,40312,125,52.3,Petrol,2.0
1604, C Class,2019,28995,Automatic,3500,145,64.2,Diesel,2.0
1605, C Class,2019,31495,Automatic,3500,145,48.7,Diesel,2.0
1606, C Class,2020,39994,Semi-Auto,2499,145,55.4,Diesel,2.0
1607, C Class,2020,39994,Semi-Auto,2499,145,55.4,Diesel,2.0
1608, C Class,2019,24995,Automatic,3485,145,46.3,Petrol,1.5
1609, C Class,2019,28395,Semi-Auto,3610,145,44.1,Petrol,2.0
1610, C Class,2019,25494,Automatic,4158,145,46.3,Petrol,1.5
1611, C Class,2018,24994,Semi-Auto,9009,145,55.4,Petrol,2.0
1612, C Class,2018,23995,Semi-Auto,12137,145,67.3,Diesel,2.1
1613, C Class,2017,21950,Semi-Auto,25270,135,74.3,Hybrid,2.1
1614, C Class,2018,49990,Semi-Auto,19870,145,32.8,Petrol,4.0
1615, C Class,2017,23400,Semi-Auto,35270,30,65.7,Diesel,2.1
1616, C Class,2017,21958,Semi-Auto,14105,145,61.4,Diesel,2.1
